Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients_with_Concentration,Effects
25-36,Oily,Oily to Normal,No,Dullness,General,Niacinamide 5% + Hyaluronic Acid 1% + Green Tea Extract 3%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant and anti-inflammatory benefits"
25-36,Oily,Oily to Normal,No,Hyperpigmentation,General,Alpha Arbutin 2% + Licorice Extract 2% + Vitamin C 10%,"Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation"
25-36,Oily,Oily to Normal,No,Open Pores,General,Salicylic Acid 2% + Green Tea Extract 3% + Clay,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores"
25-36,Oily,Oily to Normal,No,Redness,General,Aloe Vera + Chamomile Extract + Niacinamide 5%,"Soothes and hydrates irritated skin, Calms redness and irritation, Reduces inflammation and regulates sebum"
25-36,Oily,Oily to Normal,No,Sun Tan,General,Aloe Vera + Niacinamide 5% + Licorice Extract 2%,"Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
25-36,Oily,Oily to Normal,No,Whiteheads / Blackheads,General,Niacinamide 5% + Willow Bark Extract + Glycolic Acid,"Reduces inflammation and regulates sebum, Naturally exfoliates and clears pores, Exfoliates dead skin cells and smooths skin"
25-36,Oily,Oily to Normal,No,Wrinkles,General,Retinol 0.1% + Coenzyme Q10 + Niacinamide 5%,"Stimulates collagen production and reduces wrinkles, Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,Yes,Acne,Comedonal,Zinc PCA + Niacinamide 5% + Salicylic Acid 2%,"Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
25-36,Oily,Extreme Oily,Yes,Acne,Inflammatory,Salicylic Acid 2% + Green Tea Extract 3% + Benzoyl Peroxide 2.5%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria"
25-36,Oily,Extreme Oily,Yes,Acne,Fungal,Niacinamide 5% + Benzoyl Peroxide 2.5% + Salicylic Acid 2%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
25-36,Oily,Extreme Oily,Yes,Acne,Cystic,Azelaic Acid 10% + Green Tea Extract 3% + Niacinamide 5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,Yes,Dark Circles,Pigmented,Vitamin C 10% + Caffeine 3% + Niacinamide 5%,"Brightens skin and reduces pigmentation, Improves blood circulation under eyes, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,Yes,Dark Circles,Vascular,Caffeine 3% + Niacinamide 5% + Licorice Extract 2%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
25-36,Oily,Extreme Oily,Yes,Dark Spots,General,Niacinamide 5% + Licorice Extract 2% + Kojic Acid 1%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Lightens pigmentation and skin discoloration"
25-36,Oily,Extreme Oily,Yes,Dullness,General,Hyaluronic Acid 1% + Niacinamide 5% + Vitamin C 10%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
25-36,Oily,Extreme Oily,Yes,Hyperpigmentation,General,Vitamin C 10% + Tranexamic Acid 2% + Niacinamide 5%,"Brightens skin and reduces pigmentation, Reduces melanin production and pigmentation, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,Yes,Open Pores,General,Salicylic Acid 2% + Clay + Azelaic Acid 10%,"Unclogs pores and removes excess oil, Absorbs excess oil and tightens pores, Reduces acne and improves skin texture"
25-36,Oily,Extreme Oily,Yes,Redness,General,Centella Asiatica + Aloe Vera + Niacinamide 5%,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,Yes,Sun Tan,General,Licorice Extract 2% + Aloe Vera + Niacinamide 5%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,Yes,Whiteheads / Blackheads,General,Glycolic Acid + Salicylic Acid 2% + Niacinamide 5%,"Exfoliates dead skin cells and smooths skin, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,Yes,Wrinkles,General,Hyaluronic Acid 1% + Peptides + Retinol 0.1%,"Hydrates and plumps the skin, Improves skin elasticity and firmness, Stimulates collagen production and reduces wrinkles"
25-36,Oily,Extreme Oily,No,Acne,Comedonal,Azelaic Acid 10% + Salicylic Acid 2% + Green Tea Extract 3%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits"
25-36,Oily,Extreme Oily,No,Acne,Inflammatory,Salicylic Acid 2% + Niacinamide 5% + Zinc PCA,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Controls sebum production"
25-36,Oily,Extreme Oily,No,Acne,Fungal,Niacinamide 5% + Benzoyl Peroxide 2.5% + Green Tea Extract 3%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
25-36,Oily,Extreme Oily,No,Acne,Cystic,Green Tea Extract 3% + Benzoyl Peroxide 2.5% + Azelaic Acid 10%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Reduces acne and improves skin texture"
25-36,Oily,Extreme Oily,No,Dark Circles,Pigmented,Licorice Extract 2% + Caffeine 3% + Niacinamide 5%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,No,Dark Circles,Vascular,Vitamin C 10% + Caffeine 3% + Hyaluronic Acid 1%,"Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
25-36,Oily,Extreme Oily,No,Dark Spots,General,Alpha Arbutin 2% + Vitamin C 10% + Niacinamide 5%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,No,Dullness,General,Niacinamide 5% + Green Tea Extract 3% + Lactic Acid,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance"
25-36,Oily,Extreme Oily,No,Hyperpigmentation,General,Niacinamide 5% + Vitamin C 10% + Tranexamic Acid 2%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Reduces melanin production and pigmentation"
25-36,Oily,Extreme Oily,No,Open Pores,General,Salicylic Acid 2% + Niacinamide 5% + Green Tea Extract 3%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits"
25-36,Oily,Extreme Oily,No,Redness,General,Centella Asiatica + Aloe Vera + Green Tea Extract 3%,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits"
25-36,Oily,Extreme Oily,No,Sun Tan,General,Vitamin C 10% + Niacinamide 5% + Aloe Vera,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin"
25-36,Oily,Extreme Oily,No,Whiteheads / Blackheads,General,Glycolic Acid + Willow Bark Extract + Zinc PCA,"Exfoliates dead skin cells and smooths skin, Naturally exfoliates and clears pores, Controls sebum production"
25-36,Oily,Extreme Oily,No,Wrinkles,General,Hyaluronic Acid 1% + Niacinamide 5% + Peptides,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Comedonal,Azelaic Acid 10% + Salicylic Acid 2% + Niacinamide 5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Inflammatory,Zinc PCA + Green Tea Extract 3% + Benzoyl Peroxide 2.5%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Fungal,Azelaic Acid 10% + Benzoyl Peroxide 2.5% + Niacinamide 5%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Cystic,Niacinamide 5% + Salicylic Acid 2% + Azelaic Acid 10%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Reduces acne and improves skin texture"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Circles,Pigmented,Niacinamide 5% + Caffeine 3% + Vitamin C 10%,"Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Circles,Vascular,Niacinamide 5% + Hyaluronic Acid 1% + Caffeine 3%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Improves blood circulation under eyes"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Spots,General,Licorice Extract 2% + Alpha Arbutin 2% + Kojic Acid 1%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Dullness,General,Green Tea Extract 3% + Hyaluronic Acid 1% + Vitamin C 10%,"Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Hyperpigmentation,General,Tranexamic Acid 2% + Vitamin C 10% + Licorice Extract 2%,"Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Open Pores,General,Green Tea Extract 3% + Azelaic Acid 10% + Clay,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Absorbs excess oil and tightens pores"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Redness,General,Aloe Vera + Centella Asiatica + Green Tea Extract 3%,"Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Sun Tan,General,Licorice Extract 2% + Aloe Vera + Alpha Arbutin 2%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Whiteheads / Blackheads,General,Niacinamide 5% + Salicylic Acid 2% + Willow Bark Extract,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Naturally exfoliates and clears pores"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Wrinkles,General,Retinol 0.1% + Peptides + Coenzyme Q10,"Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Comedonal,Azelaic Acid 10% + Green Tea Extract 3% + Salicylic Acid 2%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Inflammatory,Benzoyl Peroxide 2.5% + Niacinamide 5% + Azelaic Acid 10%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Fungal,Zinc PCA + Azelaic Acid 10% + Salicylic Acid 2%,"Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Cystic,Azelaic Acid 10% + Benzoyl Peroxide 2.5% + Niacinamide 5%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dark Circles,Pigmented,Caffeine 3% + Vitamin C 10% + Hyaluronic Acid 1%,"Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation, Hydrates and plumps the skin"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dark Circles,Vascular,Hyaluronic Acid 1% + Licorice Extract 2% + Caffeine 3%,"Hydrates and plumps the skin, Lightens dark spots and evens skin tone, Improves blood circulation under eyes"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dark Spots,General,Vitamin C 10% + Niacinamide 5% + Licorice Extract 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dullness,General,Green Tea Extract 3% + Hyaluronic Acid 1% + Niacinamide 5%,"Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Hyperpigmentation,General,Niacinamide 5% + Tranexamic Acid 2% + Alpha Arbutin 2%,"Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Open Pores,General,Niacinamide 5% + Salicylic Acid 2% + Azelaic Acid 10%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Reduces acne and improves skin texture"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Redness,General,Green Tea Extract 3% + Niacinamide 5% + Chamomile Extract,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Calms redness and irritation"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Sun Tan,General,Alpha Arbutin 2% + Aloe Vera + Licorice Extract 2%,"Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Whiteheads / Blackheads,General,Salicylic Acid 2% + Zinc PCA + Glycolic Acid,"Unclogs pores and removes excess oil, Controls sebum production, Exfoliates dead skin cells and smooths skin"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Wrinkles,General,Hyaluronic Acid 1% + Retinol 0.1% + Coenzyme Q10,"Hydrates and plumps the skin, Stimulates collagen production and reduces wrinkles, Provides antioxidant protection and supports skin repair"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Comedonal,Niacinamide 5% + Salicylic Acid 2% + Zinc PCA,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Controls sebum production"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Inflammatory,Benzoyl Peroxide 2.5% + Niacinamide 5% + Zinc PCA,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Fungal,Salicylic Acid 2% + Benzoyl Peroxide 2.5% + Green Tea Extract 3%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Cystic,Niacinamide 5% + Salicylic Acid 2% + Benzoyl Peroxide 2.5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Circles,Pigmented,Niacinamide 5% + Hyaluronic Acid 1% + Vitamin C 10%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Circles,Vascular,Caffeine 3% + Hyaluronic Acid 1% + Vitamin C 10%,"Improves blood circulation under eyes, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Spots,General,Vitamin C 10% + Alpha Arbutin 2% + Kojic Acid 1%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Dullness,General,Vitamin C 10% + Niacinamide 5% + Hyaluronic Acid 1%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Hyperpigmentation,General,Tranexamic Acid 2% + Alpha Arbutin 2% + Vitamin C 10%,"Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Open Pores,General,Niacinamide 5% + Azelaic Acid 10% + Green Tea Extract 3%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Redness,General,Niacinamide 5% + Centella Asiatica + Green Tea Extract 3%,"Reduces inflammation and regulates sebum, Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Sun Tan,General,Aloe Vera + Alpha Arbutin 2% + Vitamin C 10%,"Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Whiteheads / Blackheads,General,Salicylic Acid 2% + Zinc PCA + Niacinamide 5%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Wrinkles,General,Coenzyme Q10 + Niacinamide 5% + Peptides,"Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Acne,Comedonal,Green Tea Extract 3% + Salicylic Acid 2% + Niacinamide 5%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Acne,Inflammatory,Zinc PCA + Benzoyl Peroxide 2.5% + Azelaic Acid 10%,"Controls sebum production, Kills acne-causing bacteria, Reduces acne and improves skin texture"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Acne,Fungal,Benzoyl Peroxide 2.5% + Azelaic Acid 10% + Niacinamide 5%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Acne,Cystic,Salicylic Acid 2% + Benzoyl Peroxide 2.5% + Green Tea Extract 3%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Dark Circles,Pigmented,Caffeine 3% + Hyaluronic Acid 1% + Vitamin C 10%,"Improves blood circulation under eyes, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Dark Circles,Vascular,Caffeine 3% + Niacinamide 5% + Licorice Extract 2%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Dark Spots,General,Vitamin C 10% + Kojic Acid 1% + Niacinamide 5%,"Brightens skin and reduces pigmentation, Lightens pigmentation and skin discoloration, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Dullness,General,Niacinamide 5% + Lactic Acid + Green Tea Extract 3%,"Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Hyperpigmentation,General,Niacinamide 5% + Alpha Arbutin 2% + Vitamin C 10%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Open Pores,General,Green Tea Extract 3% + Azelaic Acid 10% + Clay,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Absorbs excess oil and tightens pores"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Redness,General,Aloe Vera + Green Tea Extract 3% + Chamomile Extract,"Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Sun Tan,General,Aloe Vera + Alpha Arbutin 2% + Niacinamide 5%,"Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Whiteheads / Blackheads,General,Zinc PCA + Willow Bark Extract + Niacinamide 5%,"Controls sebum production, Naturally exfoliates and clears pores, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Wrinkles,General,Coenzyme Q10 + Niacinamide 5% + Peptides,"Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness"
37-45,Normal,Normal to Dry,Yes,Acne,Comedonal,Zinc PCA + Green Tea Extract 3% + Benzoyl Peroxide 2.5%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria"
37-45,Normal,Normal to Dry,Yes,Acne,Inflammatory,Azelaic Acid 10% + Green Tea Extract 3% + Zinc PCA,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production"
37-45,Normal,Normal to Dry,Yes,Acne,Fungal,Niacinamide 5% + Salicylic Acid 2% + Benzoyl Peroxide 2.5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
37-45,Normal,Normal to Dry,Yes,Acne,Cystic,Salicylic Acid 2% + Niacinamide 5% + Azelaic Acid 10%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
37-45,Normal,Normal to Dry,Yes,Dark Circles,Pigmented,Vitamin C 10% + Niacinamide 5% + Caffeine 3%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Improves blood circulation under eyes"
37-45,Normal,Normal to Dry,Yes,Dark Circles,Vascular,Hyaluronic Acid 1% + Niacinamide 5% + Caffeine 3%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation"
37-45,Normal,Normal to Dry,Yes,Dark Spots,General,Alpha Arbutin 2% + Kojic Acid 1% + Niacinamide 5%,"Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration, Reduces inflammation and regulates sebum"
37-45,Normal,Normal to Dry,Yes,Dullness,General,Green Tea Extract 3% + Lactic Acid + Niacinamide 5%,"Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance, Reduces inflammation and regulates sebum"
37-45,Normal,Normal to Dry,Yes,Hyperpigmentation,General,Alpha Arbutin 2% + Tranexamic Acid 2% + Niacinamide 5%,"Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Reduces inflammation and regulates sebum"
37-45,Normal,Normal to Dry,Yes,Open Pores,General,Green Tea Extract 3% + Azelaic Acid 10% + Niacinamide 5%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
37-45,Normal,Normal to Dry,Yes,Redness,General,Chamomile Extract + Centella Asiatica + Niacinamide 5%,"Calms redness and irritation, Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum"
37-45,Normal,Normal to Dry,Yes,Sun Tan,General,Alpha Arbutin 2% + Aloe Vera + Vitamin C 10%,"Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation"
37-45,Normal,Normal to Dry,Yes,Whiteheads / Blackheads,General,Salicylic Acid 2% + Glycolic Acid + Niacinamide 5%,"Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin, Reduces inflammation and regulates sebum"
37-45,Normal,Normal to Dry,Yes,Wrinkles,General,Niacinamide 5% + Coenzyme Q10 + Retinol 0.1%,"Reduces inflammation and regulates sebum, Provides antioxidant protection and supports skin repair, Stimulates collagen production and reduces wrinkles"
37-45,Normal,Normal to Dry,No,Acne,Comedonal,Zinc PCA + Azelaic Acid 10% + Green Tea Extract 3%,"Controls sebum production, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
37-45,Normal,Normal to Dry,No,Acne,Inflammatory,Salicylic Acid 2% + Green Tea Extract 3% + Azelaic Acid 10%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
37-45,Normal,Normal to Dry,No,Acne,Fungal,Benzoyl Peroxide 2.5% + Niacinamide 5% + Azelaic Acid 10%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
37-45,Normal,Normal to Dry,No,Acne,Cystic,Green Tea Extract 3% + Salicylic Acid 2% + Benzoyl Peroxide 2.5%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
37-45,Normal,Normal to Dry,No,Dark Circles,Pigmented,Caffeine 3% + Caffeine 3% + Hyaluronic Acid 1%,"Improves blood circulation under eyes, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
37-45,Normal,Normal to Dry,No,Dark Circles,Vascular,Vitamin C 10% + Niacinamide 5% + Caffeine 3%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation"
37-45,Normal,Normal to Dry,No,Dark Spots,General,Alpha Arbutin 2% + Vitamin C 10% + Licorice Extract 2%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone"
37-45,Normal,Normal to Dry,No,Dullness,General,Vitamin C 10% + Lactic Acid + Hyaluronic Acid 1%,"Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance, Hydrates and plumps the skin"
37-45,Normal,Normal to Dry,No,Hyperpigmentation,General,Alpha Arbutin 2% + Niacinamide 5% + Vitamin C 10%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
37-45,Normal,Normal to Dry,No,Open Pores,General,Clay + Green Tea Extract 3% + Azelaic Acid 10%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
37-45,Normal,Normal to Dry,No,Redness,General,Niacinamide 5% + Green Tea Extract 3% + Chamomile Extract,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation"
37-45,Normal,Normal to Dry,No,Sun Tan,General,Licorice Extract 2% + Alpha Arbutin 2% + Aloe Vera,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin"
37-45,Normal,Normal to Dry,No,Whiteheads / Blackheads,General,Willow Bark Extract + Salicylic Acid 2% + Glycolic Acid,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin"
37-45,Normal,Normal to Dry,No,Wrinkles,General,Niacinamide 5% + Retinol 0.1% + Hyaluronic Acid 1%,"Reduces inflammation and regulates sebum, Stimulates collagen production and reduces wrinkles, Hydrates and plumps the skin"
37-45,Normal,Normal to Oily,Yes,Acne,Comedonal,Benzoyl Peroxide 2.5% + Green Tea Extract 3% + Azelaic Acid 10%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
37-45,Normal,Normal to Oily,Yes,Acne,Inflammatory,Salicylic Acid 2% + Green Tea Extract 3% + Azelaic Acid 10%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
