ingredient_name,inci_name,category,benefits,skin_type_suitable,safety_rating
Jojoba Oil,,"Jojoba oil is a natural liquid wax obtained from the seeds of the jojoba plant (Simmondsia chinensis). It is a versatile skincare ingredient known for its moisturizing, nourishing, and skin-balancing properties.","Jojoba oil offers benefits such as:
- Provides excellent moisturization by forming a protective barrier on the skin, preventing water loss and maintaining skin hydration.
- Assists in balancing the skin's natural oil production, making it suitable for both dry and oily skin types.
- Contains skin-nourishing properties, delivering essential fatty acids and vitamins to support overall skin health.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Kola Seed Extract,,An antioxidant plant extract which helps to protect the skin from free radical damage.,"Kpla seed extract offers benefits such as:
- Provides antioxidant benefits, helping to neutralize free radicals and protect the skin from environmental damage.","[' ', 'Pregnancy']",Safe
Jeju Green Tea Water,,"Jeju Green Tea Water is a skincare ingredient derived from the water extracted from green tea leaves grown on Jeju Island in South Korea. Jeju Island is known for its pristine natural environment, which contributes to the exceptional quality of green tea produced there.","Jeju green tea water offers benefits such as:
- Provides antioxidant benefits, helping to combat free radicals and protect the skin from environmental stressors.
- Assists in soothing and calming the skin, reducing redness and irritation.
- Offers lightweight hydration to the skin, maintaining moisture balance and promoting a refreshed appearance.
- Can contribute to a more radiant and revitalized complexion.","[' ', 'Dry and dehydrated skin', ' ', 'Redness', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Kojic Acid,,"Kojic acid is a naturally derived compound derived from certain fungi, particularly Aspergillus oryzae, and is commonly used in skincare for its skin-brightening and lightening properties.","Kojic acid offers benefits such as:

- Acts as a skin-brightening agent, helping to fade dark spots, age spots, and other forms of hyperpigmentation.
- Supports an even skin tone, making it beneficial for individuals with sun damage or post-inflammatory hyperpigmentation.
- May enhance the effectiveness of other skin-lightening ingredients when used in combination.","[' ', 'Pigmentation', ' ', 'Post Blemish Marks', ' ', 'Radiance', ' ', 'Pregnancy']",Safe
Isoleucine,,"Isoleucine is present in the ""natural moisturising factors (NMFs)"" which moisturise and hydrate the skin. ",Helps support the skin barrier and protect against external aggressors. It's great for Dehydrated skin and helping to skin feel smooth and supple.,"[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Jojoba Beads,,"Jojoba beads are tiny, smooth spheres made from solidified jojoba oil. They are biodegradable and considered environmentally friendly compared to traditional plastic microbeads.","Jojoba beads offer benefits such as:
- Provide gentle exfoliation by effectively removing dead skin cells, impurities, and excess oil from the skin's surface.
- Promote a smoother and more even skin texture, revealing a fresh and radiant complexion.","[' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Macrocystis Pyrifera (Kelp) Extract,,"Macrocystis Pyrifera Extract is an extract of a giant brown seaweed, Macrocystis Pyrifera, found in the Antarctic.","Macrocystis pyrifera extract's primary value in skin care comes from its antioxidant properties. It is great for Anti-Aging, Soothing, Hydration.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Magnesium Sulfate,,"Magnesium sulfate, also known as Epsom salt, is a naturally occurring mineral compound used in skincare for its potential soothing and anti-inflammatory properties.","Magnesium sulfate offers benefits such as:
- Provides soothing benefits, helping to calm and relieve muscle soreness and tension when used in baths or soak treatments.
- Acts as a gentle exfoliant, aiding in the removal of dead skin cells and promoting a smoother skin texture.","[' ', 'Redness', ' ', 'Pregnancy']",Safe
Magnesium Ascorbyl Phosphate,,"Magnesium ascorbyl phosphate is a water-soluble, medium-strength, derivative of Vitamin C.",Used to help brighten the skin and treat fine lines and wrinkles. It is a gentler ingredients than some of the other ingredients in the class of Vitamin C and can help those who are more sensitive.,"[' ', 'Fine Lines', ' ', 'Radiance', ' ', 'Wrinkles']",Safe
Lysine,,"Lysine  is present in the ""natural moisturising factors (NMFs)"" which moisturise and hydrate the skin. ","Lysine will soothe redness, treat fine lines, wrinkles and promote elasticity in the skin. ","[' ', 'Dry and dehydrated skin', ' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Redness', ' ', 'Pregnancy', ' ', 'Texture', ' ', 'Wrinkles']",Safe
Lily Extract,,Botanical extract used in skincare for its antioxidant and skin-smoothing properties.,"Lily extract offers benefits such as:
- Provides soothing benefits, helping to calm and reduce redness or irritation in the skin.
- Assists in maintaining skin hydration, contributing to a more supple and moisturized complexion.
- Provides antioxidant benefits to prevent and treat environmental damage.","[' ', 'Pregnancy']",Safe
Luffa Cylindrica Extract,,Luffa Cylindrica extract is a natural plant extract which provides antioxidant protection against free radicals.,"Luffa cylindrica extract offers benefits such as:
- Provides gentle exfoliation, helping to remove dead skin cells, dirt, and impurities from the skin's surface.
- Can help improve skin texture and promote a smoother, more refined appearance.","[' ', 'Pregnancy']",Safe
Linolenic Acid,,"Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a crucial role in maintaining the skin's barrier function and overall health.","Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving It's ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Linoleic Acid,,"Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a crucial role in maintaining the skin's barrier function and overall health.","Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving It's ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Leucine,,"Leucine is present in the ""natural moisturising factors (NMFs)"" which moisturise and hydrate the skin.",This anti-aging amino acid is found to help regenerate and its antioxidant properties help protect the skin in the process.,"[' ', 'Dry and dehydrated skin', ' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Impaired skin barrier', ' ', 'Pregnancy', ' ', 'Texture', ' ', 'Wrinkles']",Safe
Licorice Extract,,"Licorice extract is derived from the root of the licorice plant (glycyrrhiza glabra) and is a popular skincare ingredient known for its potential anti-inflammatory, skin-brightening, and soothing properties. Licorice extract contains active compounds such as glycyrrhizin, glabridin, and liquiritin, which contribute to its skincare benefits.","Licorice root extract offers benefits such as:
- Provides anti-inflammatory benefits, helping to calm and reduce redness or irritation in the skin.
- Acts as a skin-brightening agent, helping to fade dark spots, hyperpigmentation, and even out the skin tone.
- Can help soothe and alleviate sensitive or reactive skin.
- Supports overall skin health, contributing to a more balanced and rejuvenated complexion.","[' ', 'Pigmentation', ' ', 'Post Blemish Marks', ' ', 'Redness', ' ', 'Radiance', ' ', 'Pregnancy']",Safe
Natural Moisturising Factors,,"Natural Moisturizing Factors (NMFs) are a group of naturally occurring substances found in the skin's outermost layer, the stratum corneum. They play a crucial role in maintaining the skin's hydration and barrier function.","NMFs offer benefits such as:
- Provide essential hydration to the skin, attracting and retaining moisture from the environment.
- Help maintain the skin's barrier function, preventing excessive water loss and protecting against external irritants.
- Contribute to the suppleness and smoothness of the skin's surface.
- Play a vital role in the overall health and appearance of the skin.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Radiance', ' ', 'Texture']",Safe
Licochalcone A,,"Derived from licorice, this ingredient has shown to protect skin against damage from high energy visible light (HEVIS), and is more effective at this than some of the most established antioxidant ingredients (including vitamin C!)","Licochalcone A offers benefits such as:
- Acts as an antioxidant, protecting the skin from oxidative stress caused by free radicals.
- Can help improve the appearance of uneven skin tone and reduce redness or discoloration.
- Supports overall skin health, contributing to a more balanced and radiant complexion.","[' ', 'Pregnancy']",Safe
Naringenin Chalcone,,"A plant polyphenol that occurs naturally in the skin of citrus fruits, this works to calm reactive skin as well as reduce associated redness.","Naringenin Chalcone offers benefits such as:
- Provides antioxidant benefits, helping to neutralize free radicals and protect the skin from environmental damage.
- Acts as an anti-inflammatory agent, helping to soothe and calm irritated or inflamed skin.
- Can help improve the appearance of uneven skin tone and promote a brighter complexion.","[' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Pregnancy']",Safe
Myristoyl Nonapeptide,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Myristol Pentapeptide,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Milk Thistle Extract,,"Milk thistle extract is used in skincare for its soothing and skin-restoring abilities, as well as its antioxidant abilities. It can also be known silybum marianum (milk thistle) fruit extract, silybum marianum extract or silybum marianum fruit extract.","Milk thistle extract offers benefits such as:
- Provides antioxidant benefits, helping to neutralize free radicals and protect the skin from environmental damage.
- Acts as an anti-inflammatory agent, helping to soothe and calm irritated or inflamed skin.","[' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Pregnancy']",Safe
Myristol Hexapeptide,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Mushroom Extract,,Mushroom Extract is used in skincare to naturally brighten the skin and reduce hyperpigmentation.,"Mushroom extracts offer benefits such as:
- Provide anti-inflammatory benefits, helping to soothe and calm irritated or sensitive skin.
- Act as antioxidants, protecting the skin from oxidative stress and environmental damage caused by free radicals.
- Can help improve the appearance of uneven skin tone and reduce redness or discoloration.","[' ', 'Pigmentation', ' ', 'Pregnancy']",Safe
Moringa Seed Extract,,"Moringa seeds contain a wealth of over 30 antioxidants, helping to provide protection against free radical damage. It also contains Vitamins A, C, and E, and is thought to have skin soothing abilities.","Moringa seed extract offers benefits such as:
- Provides nourishment and hydration to the skin, helping to maintain its moisture balance.
- Acts as an antioxidant, protecting the skin from free radicals and environmental stressors.
- Can help improve the appearance of fine lines and wrinkles, contributing to a more youthful complexion.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Marshmallow Root,,"Marshmallow root extract is derived from the root of the marshmallow plant (Althaea officinalis). In skincare, it is used for its potential soothing, hydrating, and skin-conditioning properties.","Marshmallow root offers benefits such as:
- Provides excellent hydration and moisture retention, helping to keep the skin soft and supple.
- Assists in soothing and calming irritated or inflamed skin, making it beneficial for sensitive or reactive skin types.
- Can help alleviate dryness and discomfort associated with skin conditions like eczema and psoriasis.","[' ', 'Redness', ' ', 'Pregnancy']",Safe
Mineral UV Filters,,"Mineral UV filters, also known as physical or inorganic UV filters, are naturally occurring mineral compounds used in sunscreens for their ability to provide broad-spectrum sun protection. The available mineral UV filters are Zinc Oxide and Titanium Dioxide.","Mineral UV filters offer benefits such as:
- Provide broad-spectrum protection against UVA and UVB rays, effectively shielding the skin from sunburn and premature aging.
- Form a protective layer on the skin's surface, preventing UV rays from penetrating into the deeper layers of the skin.","[' ', 'Anyone']",Safe
Meadowfoam Seed Oil,,"This is a lightweight plant oil which acts as an emollient in skincare. This means is supports the natural lipid-barrier, to help keep water from being lost through the skin. This make is an effective moisturising ingredient.","Meadowfoam seed oil offers benefits such as:
- Provides superior and long-lasting moisturization, helping to lock in moisture and prevent water loss from the skin.
- Nourishes and softens the skin, leaving it feeling smooth and velvety.
- Assists in forming a protective barrier on the skin's surface, shielding it from environmental stressors and pollutants.
- Supports overall skin health, promoting a more radiant and healthy complexion.","[' ', 'Dry and dehydrated skin', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Marine Extract,,"Marine extracts act as humectants in the skin, revealing a supple, smooth, and youthful surface.","Marine extract has anti-aging properties that will help achieve a radiant and smooth surface, and healthy appearance. ","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Mango Seed Butter,,"Mango seed butter is an effective emollient in skincare. It has a rich, nourishing texture which helps to support the natural lipid barrier to prevent water loss and increase moisture in the skin.","Mango seed butter offers benefits such as:
- Provides deep and long-lasting moisturization, helping to restore and maintain the skin's natural barrier function.
- Nourishes and softens the skin, leaving it feeling smooth and supple.
- Assists in improving skin elasticity, making it beneficial for mature or dry skin.","[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy']",Safe
Palmitoyl Oligopeptide,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Mandelic Acid,,"Mandelic acid is an alpha hydroxy acid (AHA) derived from bitter almonds. In skincare, it is used for its exfoliating, skin-brightening, and anti-aging properties.","Mandelic acid offers benefits such as:
- Provides gentle exfoliation, helping to remove dead skin cells and promote a smoother and more even skin texture.
- Acts as a skin-brightening agent, helping to fade dark spots, hyperpigmentation, and improve skin tone.
- Can help improve the appearance of fine lines and wrinkles, contributing to a more youthful and plump complexion.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Enlarged Pores', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Post Blemish Marks', ' ', 'Radiance', ' ', 'Texture']",Safe
Palmitoyl Nonapeptide,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Palmitoyl Pentapeptide,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Palmitoyl Glycine,,"Palmitoyl Glycine is a peptide-based skincare ingredient derived from a combination of the amino acid glycine and palmitic acid, a fatty acid. In skincare, it is used for its potential anti-aging and skin-soothing properties.","Palmitoyl glycine offers benefits such as:
- Promotes skin firmness and elasticity by stimulating the production of collagen and other skin-supporting proteins.
- Helps reduce the appearance of fine lines and wrinkles, contributing to a smoother and more youthful complexion.
- Soothes and calms irritated skin, helping to improve skin comfort and reduce redness.
- Supports the skin's natural renewal process, promoting a healthier and revitalized appearance.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Palmitoyl Heptapeptide,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Octocrylene,,An oil-soluble synthetic sunscreen agent that protects skin in the UVB and somewhat in the UVA II range. It will be found in sun care products in combination with other UV filter ingredients in order to provide broad-spectrum protection to the skin.,"As with other synthetic UV filters, it works by absorbing UVB light in the outer layers of the epidermis, then converting it into heat (to neutralise the energy which can lead to cell damage), and scattering it away from the body.","[' ', 'UV Protection']",Safe
Palmitoyl Decapeptide,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Oligopeptide,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Padina Pavonica Thallus Extract,,"Is a brown algae native to the Mediterranean coast. It is rich in polysaccharides, which provide humectant properties, meaning they can draw water molecules to them to plump & hydrate the surrounding area.","Shown to have anti-pollution effects, protecting skin against free radicals.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Oat Extract,,"Oat extract is derived from the seeds of the oat plant (Avena sativa). In skincare, it is used for its potential soothing, moisturizing, and anti-inflammatory properties.","Oat extract offers benefits such as:
- Soothes and calms irritated or sensitive skin, providing relief from itching and redness.
- Provides excellent hydration to the skin, helping to retain moisture and improve skin barrier function.
- Acts as an anti-inflammatory agent, reducing skin inflammation and promoting a more balanced complexion.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Octisalate,,"A colorless to light yellowish oily liquid that works as a UVB filter in sun care products to provide SPF protection to the skin. As it only protects against UVB wavelengths, it must be used in combination with other UV filters to provide broad-spectrum protection.","As with other synthetic UV filters, it works by absorbing UVB light in the outer layers of the epidermis, then converting it into heat (to neutralise the energy which can lead to cell damage), and scattering it away from the body.","[' ', 'UV Protection']",Safe
Octinoxate,,"A clear, oil-soluble, liquid and one of the most commonly used synthetic sunscreen ingredients. It protects against UVB light therefore offering SPF protection to the skin.","As with other synthetic UV filters, it works by absorbing UVB light in the outer layers of the epidermis, then converting it into heat (to neutralise the energy which can lead to cell damage), and scattering it away from the body. It is only able to block against wavelengths of UVB light (290-320 nm), so needs to be used in conjunction with other UVA filters in order to offer broad-spectrum sun protection.","[' ', 'UV Protection']",Safe
Polyhydroxy Acids,,Polyhydroxy Acids (PHAs) are a group of gentle chemical exfoliants used in skincare. They are milder alternatives to traditional alpha hydroxy acids (AHAs) and beta hydroxy acids (BHAs).,"PHAs offer benefits such as:
- Exfoliate the skin's surface, helping to remove dead skin cells and improve skin texture.
- Promote skin renewal and cell turnover, leading to a brighter and more even complexion.
- Provide hydration to the skin by attracting moisture, making them suitable for dry and sensitive skin types.
- Help enhance the skin's natural barrier function, improving its resilience and protection against environmental stressors.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Dry and dehydrated skin', ' ', 'Enlarged Pores', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Post Blemish Marks', ' ', 'Radiance', ' ', 'Texture']",Safe
Porphyridium Cruentum Extract,,"A type of red algae rich in polysaccharides, which helps to retain moisture and hydrate the skin.",Helps to moisturise the skin with some benefits including the treatment of wrinkles and fine lines.,"[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Polyporus Umbellatus (Mushroom) Extract,,"Polyporus umbellatus (mushroom) is a species of medicinal mushroom, typically found growing on roots of old beeches or oak. It has been used for centuries in Chinese medicine, and has more recently been adopted for use in cosmetics due to its skin brightening properties.","Polyporus umbellatus (mushroom) extract contains naturally occurring kojic acid, which is a known tyrosinase inhibitor. Tyrosinase in an enzyme involved in the production of melanin in our skin, so ingredients that can inhibit this enzyme, can in turn reduce the over-production of melanin and fade visible areas of hyperpigmentation. Polyporus umbellatus extract also has antioxidant properties to protect the skin from free radicals.",[],Safe
Phytic Acid,,"Phytic acid is a naturally occurring compound found in plant-based foods. In skincare, it is used for its potential exfoliating and antioxidant properties.","Phytic acid offers benefits such as:
- Acts as a gentle exfoliant, helping to remove dead skin cells and promote skin renewal.
- Has antioxidant properties, helping to neutralize free radicals and protect the skin from environmental damage.
- Can help improve the appearance of uneven skin tone and hyperpigmentation.
- Assists in enhancing the penetration of other skincare ingredients, making it a valuable addition to certain formulations.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Enlarged Pores']",Safe
Plankton Extract,,Plankton is an extract of marine plankton and comes as a colorless or light yellow liquid with a characteristic odor.,"It promotes elasticity in the skin, and cell regeneration. It hydrates the skin and is a great antioxidant to protect against free radicals and pollutants.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Perfluorodecalin,,Perfluorodecalin is a synthetic fluorinated liquid that is used in cosmetics for its unique properties related to oxygen and gas exchange.,"Perfluorodecalin offers benefits such as:
- Enhances oxygen delivery to the skin, promoting improved skin metabolism and overall skin health.
- Acts as an oxygen carrier, helping to increase oxygen levels in the skin and improve skin tissue oxygenation.
- Assists in the removal of carbon dioxide and other waste gases from the skin, promoting detoxification.
- Helps create a temporary plumping effect on the skin, reducing the appearance of fine lines and wrinkles.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Redness', ' ', 'Radiance']",Safe
Phytosphingosine,,"Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a crucial role in maintaining the skin's barrier function and overall health.","Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving its ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Phospholipids,,"Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a crucial role in maintaining the skin's barrier function and overall health.","Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving It's ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Palmitoyl  Tripeptide-1,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Pentapeptide,,"A biomimetic (a synthetic ingredient that mimics the processes of a natural ingredient) peptide that contains the amino acids arginine, histidine, phenylalanine and valine.","On the skin, it has been shown to reduce signs of sensitisation, including visibly reducing redness.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Palmitoyl Tetrapeptide,,"A synthetic peptide composed of the amino acids glutamine, glycine, arginine, and proline.",It works as a skin-restoring ingredient and is noted for its soothing ability since it can interrupt factors within skin that lead to signs of irritation (including from exposure to UVB light) and loss of firmness.,"[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Parachlorella Beijerinckii Exopolysaccharides,,An ingredient used in skincare as an effective in anti-aging and a skin tone evening ingredient,"It promotes elasticity in the skin, and cell regeneration. It hydrates the skin and is a great antioxidant to protect against free radicals and pollutants.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Retinyl Retinoate,,"An ester of retinol and retinoic acid, designed to improve stability, potency, and skin tolerability. Compared to retinol, it is significantly more effective with faster results, but with comparable side effects.","This ingredient is an antioxidant that stimulates collagen production, treating fine lines, wrinkles and a reduction of elasticity in the skin which can naturally come with aging.  It exfoliates the skin, unclogging  pores, helping treat acne and blemishes and improving the overall appearance of the skin making it smooth and supple.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Elasticity', ' ', 'Enlarged Pores', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Radiance', ' ', 'Texture', ' ', 'Wrinkles']",Safe
Palmitoyl Tripeptide,,A synthetic fatty acid-linked peptide that can help repair visible skin damage and strengthen skin’s underlying supportive elements.,Helps strengthen skin’s underlying supportive elements. Backed by research for minimizing the appearance of wrinkles.,"[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Neurophroline,,"Neurophroline is a patented cosmetic ingredient derived from the wild indigo plant (Tephrosia purpurea). It is known for its soothing and anti-stress properties, particularly for the skin.","Neurophroline offers benefits such as:
- Reduces the appearance of stress-induced skin aging, such as fine lines and wrinkles caused by daily stressors.
- Helps soothe and calm irritated or sensitive skin, improving skin comfort and reducing redness.
- Assists in restoring the skin's natural balance and resilience, enhancing its ability to cope with environmental stressors.
- Promotes a more radiant and rejuvenated complexion by combating the visible signs of stress.","[' ', 'Acne', ' ', 'Dry and dehydrated skin', ' ', 'Redness', ' ', 'Radiance', ' ', 'Texture']",Safe
Retinyl Propionate,,"An ester of retinol and propionic acid, designed to improve stability and skin tolerability compared to retinol. It is the most effective of the retinoid esters, except retinyl retinoate.","This ingredient is an antioxidant that stimulates collagen production, treating fine lines, wrinkles and a reduction of elasticity in the skin which can naturally come with aging.  It exfoliates the skin, unclogging  pores, and improving the overall appearance of the skin making it smooth and supple.","[' ', 'Elasticity', ' ', 'Enlarged Pores', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Radiance', ' ', 'Texture', ' ', 'Wrinkles']",Safe
Retinyl Palmitate,,"An ester of retinol and palmitic acid, made to be more gentle and less irritating than retinol. It is, however, significantly less effective than retinol, and doesn't have as many therapeutic effects as other retinoid esters (like retinyl propionate)!","This ingredient is an antioxidant that stimulates collagen production, treating fine lines.","[' ', 'Fine Lines']",Safe
Retinol,,"One of the most well researched and versatile cosmetic ingredients available, retinol is a powerhouse ingredient that is effective at smoothing, firming, brightening and evening out the skin.","This ingredient is an antioxidant that stimulates collagen production, treating fine lines, wrinkles and a reduction of elasticity in the skin which can naturally come with aging.  It exfoliates the skin, unclogging  pores, helping treat acne and blemishes and improving the overall appearance of the skin making it smooth and supple.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Elasticity', ' ', 'Enlarged Pores', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Radiance', ' ', 'Texture', ' ', 'Wrinkles']",Safe
